geometry,operating_temp_C,ambient_temp_C,insulation_mm,material,lambda_WmK,heat_flux_bare_Wm2,heat_flux_insulated_Wm2,heat_loss_reduction_pct,surface_temp_C,touch_safety_ISO13732_1
flat,300,10,125,mineral wool (wired),0.0559,2900.0,124.1,95.7,22.4,"safe (prolonged contact, <=45C)"
flat,300,10,150,mineral wool (wired),0.0559,2900.0,104.2,96.4,20.4,"safe (prolonged contact, <=45C)"
flat,300,20,0,none,,2800.0,2800.0,0.0,300,burn risk (>60C)
flat,300,20,25,mineral wool (wired),0.0568,2800.0,518.4,81.5,71.8,burn risk (>60C)
flat,300,20,50,mineral wool (wired),0.0568,2800.0,285.6,89.8,48.6,"short-contact only (~1 s, bare metal)"
flat,300,20,75,mineral wool (wired),0.0568,2800.0,197.1,93.0,39.7,"safe (prolonged contact, <=45C)"
flat,300,20,100,mineral wool (wired),0.0568,2800.0,150.5,94.6,35.0,"safe (prolonged contact, <=45C)"
flat,300,20,125,mineral wool (wired),0.0568,2800.0,121.7,95.7,32.2,"safe (prolonged contact, <=45C)"
flat,300,20,150,mineral wool (wired),0.0568,2800.0,102.2,96.4,30.2,"safe (prolonged contact, <=45C)"
flat,300,30,0,none,,2700.0,2700.0,0.0,300,burn risk (>60C)
flat,300,30,25,mineral wool (wired),0.0577,2700.0,506.3,81.2,80.6,burn risk (>60C)
flat,300,30,50,mineral wool (wired),0.0577,2700.0,279.3,89.7,57.9,caution (brief touch)
flat,300,30,75,mineral wool (wired),0.0577,2700.0,192.9,92.9,49.3,"short-contact only (~1 s, bare metal)"
flat,300,30,100,mineral wool (wired),0.0577,2700.0,147.3,94.5,44.7,"safe (prolonged contact, <=45C)"
flat,300,30,125,mineral wool (wired),0.0577,2700.0,119.1,95.6,41.9,"safe (prolonged contact, <=45C)"
flat,300,30,150,mineral wool (wired),0.0577,2700.0,100.0,96.3,40.0,"safe (prolonged contact, <=45C)"
flat,350,0,0,none,,3500.0,3500.0,0.0,350,burn risk (>60C)
flat,350,0,25,mineral wool (wired),0.0595,3500.0,672.9,80.8,67.3,burn risk (>60C)
flat,350,0,50,mineral wool (wired),0.0595,3500.0,372.2,89.4,37.2,"safe (prolonged contact, <=45C)"
flat,350,0,75,mineral wool (wired),0.0595,3500.0,257.3,92.6,25.7,"safe (prolonged contact, <=45C)"
flat,350,0,100,mineral wool (wired),0.0595,3500.0,196.6,94.4,19.7,"safe (prolonged contact, <=45C)"
flat,350,0,125,mineral wool (wired),0.0595,3500.0,159.0,95.5,15.9,"safe (prolonged contact, <=45C)"
flat,350,0,150,mineral wool (wired),0.0595,3500.0,133.5,96.2,13.4,"safe (prolonged contact, <=45C)"
flat,350,10,0,none,,3400.0,3400.0,0.0,350,burn risk (>60C)
flat,350,10,25,mineral wool (wired),0.0604,3400.0,661.6,80.5,76.2,burn risk (>60C)
flat,350,10,50,mineral wool (wired),0.0604,3400.0,366.5,89.2,46.6,"short-contact only (~1 s, bare metal)"
flat,350,10,75,mineral wool (wired),0.0604,3400.0,253.4,92.5,35.3,"safe (prolonged contact, <=45C)"
flat,350,10,100,mineral wool (wired),0.0604,3400.0,193.7,94.3,29.4,"safe (prolonged contact, <=45C)"
flat,350,10,125,mineral wool (wired),0.0604,3400.0,156.7,95.4,25.7,"safe (prolonged contact, <=45C)"
flat,350,10,150,mineral wool (wired),0.0604,3400.0,131.6,96.1,23.2,"safe (prolonged contact, <=45C)"
flat,350,20,0,none,,3300.0,3300.0,0.0,350,burn risk (>60C)
flat,350,20,25,mineral wool (wired),0.0613,3300.0,649.8,80.3,85.0,burn risk (>60C)
flat,350,20,50,mineral wool (wired),0.0613,3300.0,360.4,89.1,56.0,caution (brief touch)
flat,350,20,75,mineral wool (wired),0.0613,3300.0,249.3,92.4,44.9,"safe (prolonged contact, <=45C)"
flat,350,20,100,mineral wool (wired),0.0613,3300.0,190.6,94.2,39.1,"safe (prolonged contact, <=45C)"
flat,350,20,125,mineral wool (wired),0.0613,3300.0,154.3,95.3,35.4,"safe (prolonged contact, <=45C)"
flat,350,20,150,mineral wool (wired),0.0613,3300.0,129.6,96.1,33.0,"safe (prolonged contact, <=45C)"
flat,350,30,0,none,,3200.0,3200.0,0.0,350,burn risk (>60C)
flat,350,30,25,mineral wool (wired),0.0622,3200.0,637.5,80.1,93.8,burn risk (>60C)
flat,350,30,50,mineral wool (wired),0.0622,3200.0,354.0,88.9,65.4,burn risk (>60C)
flat,350,30,75,mineral wool (wired),0.0622,3200.0,245.1,92.3,54.5,caution (brief touch)
flat,350,30,100,mineral wool (wired),0.0622,3200.0,187.4,94.1,48.7,"short-contact only (~1 s, bare metal)"
flat,350,30,125,mineral wool (wired),0.0622,3200.0,151.7,95.3,45.2,"short-contact only (~1 s, bare metal)"
flat,350,30,150,mineral wool (wired),0.0622,3200.0,127.4,96.0,42.7,"safe (prolonged contact, <=45C)"
flat,400,0,0,none,,4000.0,4000.0,0.0,400,burn risk (>60C)
flat,400,0,25,mineral wool (wired),0.064,4000.0,815.3,79.6,81.5,burn risk (>60C)
flat,400,0,50,mineral wool (wired),0.064,4000.0,453.9,88.7,45.4,"short-contact only (~1 s, bare metal)"
flat,400,0,75,mineral wool (wired),0.064,4000.0,314.5,92.1,31.4,"safe (prolonged contact, <=45C)"
flat,400,0,100,mineral wool (wired),0.064,4000.0,240.6,94.0,24.1,"safe (prolonged contact, <=45C)"
